Filename,Width x height,Exposure,Aperture,ISO,Focal length,Time
DSC_4174.JPG,6000x4000,1/60 sec,F9.0,100,300,09:56:09
DSC_4175.JPG,6000x4000,1/60 sec,F9.0,100,300,09:56:30
DSC_4186.JPG,6000x4000,1/100 sec,F9.0,100,300,10:09:28
DSC_4187.JPG,6000x4000,1/100 sec,F9.0,100,300,10:09:36
DSC_4188.JPG,6000x4000,1/100 sec,F9.0,100,300,10:10:20
DSC_4189.JPG,6000x4000,1/100 sec,F9.0,100,300,10:10:21
DSC_4190.JPG,6000x4000,1/60 sec,F9.0,100,300,10:10:28
DSC_4191.JPG,6000x4000,1/60 sec,F9.0,100,300,10:13:33
DSC_4192.JPG,6000x4000,1/60 sec,F9.0,100,300,10:13:56
DSC_4193.JPG,6000x4000,1/100 sec,F9.0,100,300,10:14:03
DSC_4202.JPG,6000x4000,1/50 sec,F9.0,100,300,10:18:48
DSC_4203.JPG,6000x4000,1/100 sec,F9.0,100,300,10:20:25
DSC_4204.JPG,6000x4000,1/100 sec,F9.0,100,300,10:20:26
DSC_4205.JPG,6000x4000,1/100 sec,F9.0,100,300,10:23:02
DSC_4206.JPG,6000x4000,1/100 sec,F9.0,100,300,10:23:02
DSC_4207.JPG,6000x4000,1/100 sec,F9.0,100,300,10:23:27
DSC_4208.JPG,6000x4000,1/100 sec,F9.0,100,300,10:23:29
DSC_4209.JPG,6000x4000,1/100 sec,F9.0,100,300,10:23:29
DSC_4210.JPG,6000x4000,1/60 sec,F9.0,100,300,10:23:39
DSC_4211.JPG,6000x4000,1/60 sec,F9.0,100,300,10:23:39
DSC_4212.JPG,6000x4000,1/60 sec,F9.0,100,300,10:23:53
DSC_4213.JPG,6000x4000,1/60 sec,F9.0,100,300,10:28:22
DSC_4214.JPG,6000x4000,1/60 sec,F9.0,100,300,10:28:23
DSC_4215.JPG,6000x4000,1/60 sec,F9.0,100,300,10:28:23
DSC_4216.JPG,6000x4000,1/60 sec,F9.0,100,300,10:29:13
DSC_4218.JPG,6000x4000,1/100 sec,F9.0,100,300,10:29:22
DSC_4219.JPG,6000x4000,1/100 sec,F9.0,100,300,10:29:23
DSC_4220.JPG,6000x4000,1/100 sec,F9.0,100,300,10:29:23
DSC_4224.JPG,6000x4000,1/100 sec,F9.0,100,300,10:29:47
DSC_4225.JPG,6000x4000,1/100 sec,F9.0,100,300,10:29:48
DSC_4226.JPG,6000x4000,1/100 sec,F9.0,100,300,10:31:13
DSC_4227.JPG,6000x4000,1/100 sec,F9.0,100,300,10:31:13
DSC_4228.JPG,6000x4000,1/60 sec,F9.0,100,300,10:31:23
DSC_4229.JPG,6000x4000,1/60 sec,F9.0,100,300,10:31:24
DSC_4230.JPG,6000x4000,1/60 sec,F9.0,100,300,10:31:36
DSC_4231.JPG,6000x4000,1/60 sec,F9.0,100,300,10:31:37
DSC_4232.JPG,6000x4000,1/60 sec,F9.0,100,300,10:31:51
DSC_4233.JPG,6000x4000,1/60 sec,F9.0,100,300,10:35:11
DSC_4234.JPG,6000x4000,1/60 sec,F9.0,100,300,10:35:13
DSC_4235.JPG,6000x4000,1/100 sec,F9.0,100,300,10:35:20
DSC_4236.JPG,6000x4000,1/100 sec,F9.0,100,300,10:35:21
DSC_4245.JPG,6000x4000,1/100 sec,F9.0,100,300,10:41:38
DSC_4246.JPG,6000x4000,1/100 sec,F9.0,100,300,10:41:39
DSC_4247.JPG,6000x4000,1/60 sec,F9.0,100,300,10:42:03
DSC_4248.JPG,6000x4000,1/60 sec,F9.0,100,300,10:42:04
DSC_4249.JPG,6000x4000,1/60 sec,F9.0,100,300,10:42:06
DSC_4250.JPG,6000x4000,1/60 sec,F9.0,100,300,10:47:06
DSC_4251.JPG,6000x4000,1/60 sec,F9.0,100,300,10:47:08
DSC_4252.JPG,6000x4000,1/60 sec,F9.0,100,300,10:47:11
DSC_4253.JPG,6000x4000,1/100 sec,F9.0,100,300,10:47:18
DSC_4254.JPG,6000x4000,1/100 sec,F9.0,100,300,10:47:18
DSC_4255.JPG,6000x4000,1/60 sec,F9.0,100,300,10:47:42
DSC_4256.JPG,6000x4000,1/60 sec,F9.0,100,300,10:47:42
DSC_4257.JPG,6000x4000,1/100 sec,F9.0,100,300,10:47:54
DSC_4260.JPG,6000x4000,1/100 sec,F9.0,100,300,10:48:14
DSC_4261.JPG,6000x4000,1/100 sec,F9.0,100,300,10:48:15
DSC_4262.JPG,6000x4000,1/100 sec,F9.0,100,300,10:52:02
DSC_4263.JPG,6000x4000,1/100 sec,F9.0,100,300,10:52:03
DSC_4264.JPG,6000x4000,1/60 sec,F9.0,100,300,10:52:10
DSC_4269.JPG,6000x4000,1/60 sec,F9.0,100,300,11:01:43
DSC_4270.JPG,6000x4000,1/60 sec,F9.0,100,300,11:01:44
DSC_4271.JPG,6000x4000,1/60 sec,F9.0,100,300,11:02:04
DSC_4274.JPG,6000x4000,1/100 sec,F9.0,100,300,11:02:24
DSC_4275.JPG,6000x4000,1/100 sec,F9.0,100,300,11:02:24
DSC_4276.JPG,6000x4000,1/100 sec,F9.0,100,300,11:12:12
DSC_4277.JPG,6000x4000,1/100 sec,F9.0,100,300,11:12:12
DSC_4278.JPG,6000x4000,1/100 sec,F9.0,100,300,11:13:06
DSC_4279.JPG,6000x4000,1/100 sec,F9.0,100,300,11:13:08
DSC_4280.JPG,6000x4000,1/100 sec,F9.0,100,300,11:13:08
DSC_4281.JPG,6000x4000,1/60 sec,F9.0,100,300,11:13:16
DSC_4282.JPG,6000x4000,1/60 sec,F9.0,100,300,11:13:16
DSC_4286.JPG,6000x4000,1/60 sec,F9.0,100,300,11:14:43
DSC_4287.JPG,6000x4000,1/60 sec,F9.0,100,300,11:21:43
DSC_4288.JPG,6000x4000,1/60 sec,F9.0,100,300,11:21:43
DSC_4289.JPG,6000x4000,1/60 sec,F9.0,100,300,11:21:47
DSC_4290.JPG,6000x4000,1/100 sec,F9.0,100,300,11:21:55
DSC_4291.JPG,6000x4000,1/100 sec,F9.0,100,300,11:21:55
