,Filename,Width x height,Exposure,Aperture,ISO,Focal length,Time,UT,PA,SunALT,SunAZ,MoonALT,MoonAZ
0,DSC_4174.JPG,6000x4000,1/60 sec,F9.0,100,300,09:56:09,2020-06-21 04:26:09.000,280.194,54.067,67.759,54.628,67.39
1,DSC_4175.JPG,6000x4000,1/60 sec,F9.0,100,300,09:56:30,2020-06-21 04:26:30.000,280.284,54.146,67.734,54.704,67.363
2,DSC_4186.JPG,6000x4000,1/100 sec,F9.0,100,300,10:09:28,2020-06-21 04:39:28.000,283.914,57.059,66.671,57.539,66.219
3,DSC_4187.JPG,6000x4000,1/100 sec,F9.0,100,300,10:09:36,2020-06-21 04:39:36.000,283.955,57.088,66.659,57.568,66.206
4,DSC_4188.JPG,6000x4000,1/100 sec,F9.0,100,300,10:10:20,2020-06-21 04:40:20.000,284.181,57.252,66.59,57.728,66.132
5,DSC_4189.JPG,6000x4000,1/100 sec,F9.0,100,300,10:10:21,2020-06-21 04:40:21.000,284.186,57.256,66.589,57.732,66.13
6,DSC_4190.JPG,6000x4000,1/60 sec,F9.0,100,300,10:10:28,2020-06-21 04:40:28.000,284.222,57.282,66.578,57.757,66.119
7,DSC_4191.JPG,6000x4000,1/60 sec,F9.0,100,300,10:13:33,2020-06-21 04:43:33.000,285.197,57.971,66.276,58.427,65.797
8,DSC_4192.JPG,6000x4000,1/60 sec,F9.0,100,300,10:13:56,2020-06-21 04:43:56.000,285.321,58.056,66.238,58.51,65.756
9,DSC_4193.JPG,6000x4000,1/100 sec,F9.0,100,300,10:14:03,2020-06-21 04:44:03.000,285.359,58.082,66.226,58.535,65.743
10,DSC_4202.JPG,6000x4000,1/50 sec,F9.0,100,300,10:18:48,2020-06-21 04:48:48.000,286.957,59.139,65.719,59.563,65.204
11,DSC_4203.JPG,6000x4000,1/100 sec,F9.0,100,300,10:20:25,2020-06-21 04:50:25.000,287.525,59.498,65.536,59.912,65.009
12,DSC_4204.JPG,6000x4000,1/100 sec,F9.0,100,300,10:20:26,2020-06-21 04:50:26.000,287.531,59.502,65.534,59.916,65.007
13,DSC_4205.JPG,6000x4000,1/100 sec,F9.0,100,300,10:23:02,2020-06-21 04:53:02.000,288.474,60.078,65.226,60.476,64.681
14,DSC_4206.JPG,6000x4000,1/100 sec,F9.0,100,300,10:23:02,2020-06-21 04:53:02.000,288.474,60.078,65.226,60.476,64.681
15,DSC_4207.JPG,6000x4000,1/100 sec,F9.0,100,300,10:23:27,2020-06-21 04:53:27.000,288.629,60.17,65.175,60.565,64.628
16,DSC_4208.JPG,6000x4000,1/100 sec,F9.0,100,300,10:23:29,2020-06-21 04:53:29.000,288.641,60.177,65.171,60.573,64.623
17,DSC_4209.JPG,6000x4000,1/100 sec,F9.0,100,300,10:23:29,2020-06-21 04:53:29.000,288.641,60.177,65.171,60.573,64.623
18,DSC_4210.JPG,6000x4000,1/60 sec,F9.0,100,300,10:23:39,2020-06-21 04:53:39.000,288.703,60.214,65.151,60.608,64.602
19,DSC_4211.JPG,6000x4000,1/60 sec,F9.0,100,300,10:23:39,2020-06-21 04:53:39.000,288.703,60.214,65.151,60.608,64.602
20,DSC_4212.JPG,6000x4000,1/60 sec,F9.0,100,300,10:23:53,2020-06-21 04:53:53.000,288.79,60.265,65.122,60.659,64.571
21,DSC_4213.JPG,6000x4000,1/60 sec,F9.0,100,300,10:28:22,2020-06-21 04:58:22.000,290.523,61.254,64.543,61.62,63.96
22,DSC_4214.JPG,6000x4000,1/60 sec,F9.0,100,300,10:28:23,2020-06-21 04:58:23.000,290.53,61.258,64.541,61.623,63.958
23,DSC_4215.JPG,6000x4000,1/60 sec,F9.0,100,300,10:28:23,2020-06-21 04:58:23.000,290.53,61.258,64.541,61.623,63.958
24,DSC_4216.JPG,6000x4000,1/60 sec,F9.0,100,300,10:29:13,2020-06-21 04:59:13.000,290.865,61.441,64.427,61.801,63.838
25,DSC_4218.JPG,6000x4000,1/100 sec,F9.0,100,300,10:29:22,2020-06-21 04:59:22.000,290.926,61.474,64.407,61.833,63.816
26,DSC_4219.JPG,6000x4000,1/100 sec,F9.0,100,300,10:29:23,2020-06-21 04:59:23.000,290.932,61.478,64.404,61.837,63.814
